hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457750.58929,bf,V,14.066,0.02444,9.071,0.204
2457674.87811,bf,V,13.312,0.02202,18.157,0.368
2457379.66432,bf,V,13.584,0.02196,14.142,0.286
2457046.68882,bf,V,13.681,0.02219,12.929,0.264
2457027.61188,bf,V,13.791,0.02262,11.681,0.243
2457008.64945,bf,V,14.006,0.02395,9.579,0.211
2456793.46104,bf,V,14.024,0.0241,9.429,0.209
2458055.66983,bf,V,13.991,0.02384,9.713,0.213
2457864.50148,bf,V,13.783,0.02259,11.769,0.245
2457687.67311,bf,V,14.099,0.02474,8.796,0.2
2456970.6393,bf,V,13.632,0.02206,13.522,0.274
2456885.85817,bf,V,14.045,0.02427,9.246,0.206
2456849.94473,bf,V,13.582,0.02195,14.156,0.286
