,t,Flux,Flux_error
1792,1546.8803337127363,189866.22,49.229908
1793,1546.8817226145595,189850.31,49.227623
1794,1546.8831115168477,189640.86,49.192898
1795,1546.8845004191353,189737.16,49.24338
1796,1546.8858893209579,189769.38,49.231716
1797,1546.887278223246,189785.14,49.229313
1798,1546.888667125068,189795.02,49.224354
1799,1546.8900560273562,189833.19,49.207355
1800,1546.8914449291794,189778.08,49.215134
1801,1546.8928338314674,189665.16,49.209183
1802,1546.8942227332893,189745.62,49.21522
1803,1546.8956116355776,189858.02,49.236256
1804,1546.8970005378658,189833.8,49.237724
1805,1546.8983894396883,189777.36,49.220367
1806,1546.8997783419766,189783.11,49.205017
1807,1546.9011672437991,189779.33,49.210735
1808,1546.9025561460874,189805.28,49.19785
1809,1546.9039450479092,189870.19,49.2331
1810,1546.9053339497311,189822.44,49.204205
1811,1546.9067228520198,189816.62,49.235138
1812,1546.908111753843,189866.97,49.22574
1813,1546.9095006561306,189866.94,49.227715
1814,1546.9108895579532,189851.77,49.230957
1815,1546.9122784602414,189837.06,49.223713
1816,1546.9136673620633,189722.34,49.21462
1817,1546.9150562643515,189904.42,49.23785
1818,1546.9164451661748,189911.72,49.248676
1819,1546.9178340679973,189862.14,49.241642
1820,1546.9192229702849,189802.47,49.23067
1821,1546.9206118721065,189857.75,49.22156
1822,1546.9220007743947,189761.4,49.2357
1823,1546.923389676218,189799.77,49.197018
1824,1546.9247785780406,189794.8,49.223907
1825,1546.9261674803288,189759.69,49.209282
1826,1546.9275563821514,189749.8,49.224514
1827,1546.9289452839732,189784.69,49.20753
1828,1546.9303341862608,189786.39,49.18176
1829,1546.931723088084,189767.28,49.224392
1830,1546.9331119899073,189804.06,49.21791
1831,1546.9345008921948,189794.67,49.21488
1832,1546.9358897940167,189703.4,49.215893
1833,1546.937278695839,189926.92,49.237415
1834,1546.9386675976623,189783.12,49.21471
1835,1546.9400564999505,189779.62,49.243515
1836,1546.941445401773,189894.66,49.232834
1837,1546.9428343035956,189909.66,49.22928
1838,1546.9442232058832,189793.34,49.225815
1839,1546.945612107705,189769.8,49.234463
1840,1546.9470010095283,189781.42,49.231678
1841,1546.9483899113516,189850.75,49.22665
1842,1546.9497788131735,189800.53,49.213062
1843,1546.9511677154608,189913.48,49.23125
1844,1546.9525566172833,189819.38,49.218628
1845,1546.953945519106,189783.52,49.22656
1846,1546.9553344209285,189865.28,49.22484
1847,1546.9567233227517,189832.88,49.244537
1848,1546.95811222504,189837.9,49.22733
1849,1546.9595011268618,189754.42,49.22865
1850,1546.9608900286837,189774.69,49.237312
1851,1546.9622789305063,189861.34,49.244175
1852,1546.9636678323295,189891.08,49.246292
1853,1546.965056734152,189776.53,49.22198
1854,1546.9664456364394,189785.58,49.218155
1855,1546.967834538262,189778.72,49.24368
1856,1546.9692234400845,189820.95,49.22676
1857,1546.9706123419064,189911.39,49.240395
1858,1546.9720012437297,189793.8,49.227207
